iter	Passed	Remaining
650	1839	985
651	1841	982
652	1844	980
653	1846	977
654	1849	974
655	1851	971
656	1854	968
657	1857	965
658	1859	962
659	1862	959
660	1865	956
661	1867	953
662	1870	950
663	1872	947
664	1875	944
665	1878	941
666	1880	939
667	1883	936
668	1885	933
669	1888	930
670	1891	927
671	1893	924
672	1896	921
673	1898	918
674	1901	915
675	1904	912
676	1907	909
677	1909	906
678	1912	903
679	1915	901
680	1917	898
681	1920	895
682	1923	892
683	1926	889
684	1929	887
685	1931	884
686	1934	881
687	1936	878
688	1939	875
689	1942	872
690	1944	869
691	1946	866
692	1949	863
693	1952	860
694	1954	857
695	1957	855
696	1961	852
697	1964	849
698	1966	847
699	1969	844
700	1971	841
701	1974	838
702	1977	835
703	1979	832
704	1982	829
705	1985	826
706	1987	823
707	1990	820
708	1992	817
709	1995	814
710	1997	811
711	2000	809
712	2002	806
713	2004	803
714	2007	800
715	2009	797
716	2012	794
717	2014	791
718	2017	788
719	2019	785
720	2022	782
721	2025	779
722	2027	776
723	2029	773
724	2032	770
725	2034	767
726	2037	764
727	2039	762
728	2042	759
729	2044	756
730	2047	753
731	2050	750
732	2052	747
733	2055	744
734	2057	741
735	2060	738
736	2062	736
737	2065	733
738	2067	730
739	2070	727
740	2072	724
741	2075	721
742	2077	718
743	2080	715
744	2082	712
745	2085	710
746	2087	707
747	2090	704
748	2093	701
749	2097	699
750	2099	696
751	2103	693
752	2107	691
753	2111	688
754	2115	686
755	2120	684
756	2125	682
757	2130	680
758	2136	678
759	2142	676
760	2148	674
761	2154	672
762	2158	670
763	2162	667
764	2168	666
765	2172	663
766	2176	661
767	2180	658
768	2187	657
769	2193	655
770	2198	652
771	2204	651
772	2207	648
773	2211	645
774	2214	642
775	2218	640
776	2221	637
777	2225	635
778	2229	632
779	2233	629
780	2236	627
781	2238	624
782	2241	621
783	2244	618
784	2246	615
785	2249	612
786	2251	609
787	2254	606
788	2257	603
789	2260	600
790	2262	597
791	2265	595
792	2268	592
793	2270	589
794	2273	586
795	2275	583
796	2278	580
797	2281	577
798	2283	574
799	2286	571
800	2288	568
801	2291	565
802	2295	563
803	2297	560
804	2300	557
805	2302	554
806	2305	551
807	2307	548
808	2310	545
809	2312	542
810	2314	539
811	2317	536
812	2320	533
813	2323	530
814	2325	527
815	2328	525
816	2331	522
817	2333	519
818	2336	516
819	2339	513
820	2342	510
821	2344	507
822	2347	504
823	2349	501
824	2352	498
825	2354	496
826	2357	493
827	2360	490
828	2362	487
829	2365	484
830	2367	481
831	2370	478
832	2373	475
833	2376	472
834	2379	470
835	2382	467
836	2385	464
837	2388	461
838	2391	458
839	2394	456
840	2397	453
841	2401	450
842	2404	447
843	2407	445
844	2411	442
845	2413	439
846	2416	436
847	2418	433
848	2421	430
849	2424	427
850	2427	424
851	2429	422
852	2432	419
853	2434	416
854	2437	413
855	2440	410
856	2443	407
857	2445	404
858	2448	401
859	2451	399
860	2453	396
861	2456	393
862	2459	390
863	2462	387
864	2465	384
865	2468	381
866	2470	378
867	2472	376
868	2475	373
869	2477	370
870	2480	367
871	2483	364
872	2485	361
873	2488	358
874	2490	355
875	2493	352
876	2496	350
877	2498	347
878	2501	344
879	2503	341
880	2506	338
881	2508	335
882	2510	332
883	2513	329
884	2515	326
885	2518	324
886	2521	321
887	2523	318
888	2525	315
889	2528	312
890	2530	309
891	2533	306
892	2535	303
893	2538	300
894	2539	297
895	2542	295
896	2544	292
897	2547	289
898	2549	286
899	2552	283
900	2555	280
901	2557	277
902	2560	275
903	2562	272
904	2565	269
905	2567	266
906	2570	263
907	2572	260
908	2574	257
909	2577	254
910	2581	252
911	2584	249
912	2587	246
913	2590	243
914	2593	240
915	2595	238
916	2598	235
917	2602	232
918	2605	229
919	2608	226
920	2611	223
921	2613	221
922	2616	218
923	2618	215
924	2621	212
925	2623	209
926	2626	206
927	2628	203
928	2631	201
929	2633	198
930	2636	195
931	2639	192
932	2642	189
933	2645	186
934	2647	184
935	2650	181
936	2652	178
937	2655	175
938	2657	172
939	2660	169
940	2663	166
941	2665	164
942	2668	161
943	2670	158
944	2673	155
945	2676	152
946	2679	149
947	2681	147
948	2684	144
949	2687	141
950	2689	138
951	2692	135
952	2695	132
953	2697	130
954	2700	127
955	2703	124
956	2705	121
957	2708	118
958	2711	115
959	2714	113
960	2716	110
961	2719	107
962	2721	104
963	2724	101
964	2726	98
965	2729	96
966	2731	93
967	2734	90
968	2736	87
969	2739	84
970	2741	81
971	2743	79
972	2746	76
973	2748	73
974	2751	70
975	2753	67
976	2756	64
977	2759	62
978	2761	59
979	2764	56
980	2766	53
981	2769	50
982	2771	47
983	2773	45
984	2776	42
985	2779	39
986	2782	36
987	2785	33
988	2788	31
989	2790	28
990	2793	25
991	2796	22
992	2799	19
993	2802	16
994	2805	14
995	2808	11
996	2811	8
997	2813	5
998	2816	2
999	2819	0
